City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,pisco,-13.7,-76.2167,72.01,78,5,9.22,PE,1683578512
121,maceio,-9.6658,-35.7353,83.64,69,20,9.22,BR,1683578415
122,muroto-misakicho,33.2833,134.15,60.22,46,98,15.12,JP,1683578512
123,sisimiut,66.9395,-53.6735,32.16,83,82,15.59,GL,1683578512
124,kamina,-8.7386,24.9906,62.98,70,86,2.8,CD,1683578512
125,avarua,-21.2078,-159.775,80.65,83,75,12.66,CK,1683578513
126,bredasdorp,-34.5322,20.0403,55.98,94,20,2.75,ZA,1683578513
127,qamdo,31.1667,97.2333,34.05,54,71,5.95,CN,1683578513
128,nyurba,63.2842,118.3319,20.37,89,97,6.2,RU,1683578513
129,alice springs,-23.7,133.8833,29.75,80,0,11.03,AU,1683578514
130,ust-nera,64.5667,143.2,30.94,76,100,4.25,RU,1683578514
131,dalnerechensk,45.9339,133.7225,42.46,65,14,5.68,RU,1683578514
132,flying fish cove,-10.4217,105.6791,80.28,89,100,8.05,CX,1683578514
133,callao,-12.0667,-77.15,74.71,78,100,12.66,PE,1683578515
134,nadym,65.5333,72.5167,16.97,82,92,26.87,RU,1683578515
135,port elizabeth,-33.918,25.5701,63.32,96,0,2.3,ZA,1683578516
136,punta arenas,-53.15,-70.9167,44.71,81,100,9.22,CL,1683578516
137,susuman,62.7833,148.1667,31.69,84,63,1.54,RU,1683578517
138,talnakh,69.4865,88.3972,27.21,97,100,5.5,RU,1683578518
139,mitu,1.1983,-70.1733,82.08,76,100,2.01,CO,1683578518
140,iqaluit,63.7506,-68.5145,26.33,73,20,20.71,CA,1683578518
141,happy valley-goose bay,53.3168,-60.3315,41.31,48,75,14.97,CA,1683578519
142,petropavlovsk-kamchatsky,53.0452,158.6483,37.99,65,75,13.42,RU,1683578519
143,ta`u,-14.2336,-169.5144,81.75,79,27,13.53,AS,1683578519
144,rasskazovo,52.6714,41.9033,40.33,62,100,6.73,RU,1683578519
145,olonkinbyen,70.9221,-8.7187,35.19,100,100,3.78,SJ,1683578520
146,sitka,57.0531,-135.33,48.09,66,75,5.75,US,1683578520
147,fort bragg,35.139,-79.006,84.49,47,20,9.22,US,1683578520
148,freetown,8.484,-13.2299,80.31,78,75,9.22,SL,1683578520
149,qaqortoq,60.7167,-46.0333,35.92,83,90,3.65,GL,1683578521
150,san andres,12.5847,-81.7006,89.62,58,40,11.5,CO,1683578521
151,tanumah,27.1,44.1333,85.08,10,98,15.88,SA,1683578521
152,taroa,8.7058,171.2275,81.79,82,99,13.13,MH,1683578522
153,iyidere,41.0119,40.3619,57.16,94,100,1.97,TR,1683578522
154,stanley,54.868,-1.6985,55.53,92,40,5.75,GB,1683578522
155,kone,-21.0595,164.8658,73.33,81,99,2.77,NC,1683578523
156,kavalerovo,44.2661,135.0572,43.05,70,23,4.47,RU,1683578523
157,scarborough,54.2797,-0.4044,56.93,92,100,5.99,GB,1683578318
158,tual,-5.6667,132.75,81.23,84,100,17.38,ID,1683578523
159,machico,32.7,-16.7667,79.43,25,20,18.41,PT,1683578524
160,prado,-17.3411,-39.2208,75.52,86,1,7.31,BR,1683578524
161,luohe,33.5717,114.0353,53.01,53,0,3.98,CN,1683578524
162,banda aceh,5.5577,95.3222,78.53,82,100,12.24,ID,1683578525
163,moose jaw,50.4001,-105.5344,62.85,51,75,17.27,CA,1683578525
164,katsuren-haebaru,26.3369,127.8719,69.82,79,40,9.22,JP,1683578525
165,papatowai,-46.5619,169.4708,57.83,87,96,7.0,NZ,1683578526
166,port lincoln,-34.7333,135.8667,56.14,74,3,4.97,AU,1683578526
167,souillac,-20.5167,57.5167,73.78,94,40,3.44,MU,1683578526
168,dalandzadgad,43.5708,104.425,51.85,60,100,12.35,MN,1683578526
169,iskateley,67.6803,53.1512,31.41,96,100,14.18,RU,1683578527
170,luwuk,-0.9516,122.7875,78.03,87,100,2.62,ID,1683578527
171,uturoa,-16.7333,-151.4333,81.99,73,30,7.9,PF,1683578527
172,aghstafa,41.1189,45.4539,56.37,84,100,8.1,AZ,1683578528
173,prince albert,53.2001,-105.7677,60.75,51,75,12.66,CA,1683578528
174,chos malal,-37.3781,-70.2709,66.63,18,90,1.77,AR,1683578528
175,wladyslawowo,54.7909,18.4009,49.93,76,10,8.57,PL,1683578528
176,beau vallon,-20.4189,57.6953,75.22,94,40,3.44,MU,1683578529
177,bol,13.4586,14.7147,82.27,46,96,9.91,TD,1683578529
178,port hedland,-20.3167,118.5667,73.45,31,0,14.97,AU,1683578529
179,jeddah,21.5169,39.2192,80.46,36,0,8.05,SA,1683578322
180,utrik,11.2278,169.8474,80.31,84,100,18.88,MH,1683578530
181,mrakovo,52.7161,56.6244,38.21,56,95,7.31,RU,1683578530
182,yueyang,29.3333,113.0919,59.4,79,6,3.24,CN,1683578531
183,pionerskiy,54.9508,20.2275,46.74,49,7,9.19,RU,1683578531
184,kampene,-3.6,26.6667,69.1,98,99,1.5,CD,1683578531
185,chita,52.0333,113.55,30.09,64,4,2.24,RU,1683578499
186,hovd,48.0056,91.6419,36.57,59,73,6.4,MN,1683578532
187,lobujya,27.95,86.8167,7.11,50,7,2.89,NP,1683578532
188,chonchi,-42.6128,-73.8092,49.12,83,100,1.16,CL,1683578532
189,manacapuru,-3.2997,-60.6206,82.27,84,18,4.92,BR,1683578533
190,sarangani,5.4033,125.4636,82.42,78,46,4.38,PH,1683578533
191,karliova,39.2983,41.0142,41.65,89,96,1.68,TR,1683578533
192,oum hadjer,13.2954,19.6966,94.86,25,7,6.42,TD,1683578534
193,nouadhibou,20.931,-17.0347,69.78,68,0,12.66,MR,1683578534
194,tokar,18.4254,37.729,79.39,61,0,8.16,SD,1683578535
195,kiffa,16.6166,-11.4045,94.55,11,97,5.12,MR,1683578535
196,fisterra,42.9049,-9.2629,64.02,97,100,9.22,ES,1683578461
197,celestun,20.8667,-90.4,85.3,66,25,16.46,MX,1683578535
198,kedrovyy,56.1667,91.8167,39.61,51,15,5.48,RU,1683578536
199,toungo,8.1167,12.05,82.44,53,97,2.62,NG,1683578536
200,xai-xai,-25.0519,33.6442,69.58,87,52,4.83,MZ,1683578537
201,nicoya,10.1483,-85.452,95.22,29,100,8.14,CR,1683578537
202,chinde,26.8418,88.0763,63.75,49,0,5.19,NP,1683578537
203,malaryta,51.7905,24.074,41.07,71,7,5.75,BY,1683578537
204,kruisfontein,-34.0033,24.7314,60.89,86,61,6.69,ZA,1683578538
205,fnidek,35.8491,-5.3575,69.51,75,50,3.58,MA,1683578538
206,merizo village,13.2658,144.6691,81.16,91,3,10.74,GU,1683578538
207,kodiak,57.79,-152.4072,36.91,87,100,20.71,US,1683578448
208,port blair,11.6667,92.75,84.25,77,100,9.28,IN,1683578539
209,jalai nur,49.45,117.7,42.73,31,19,7.56,CN,1683578539
210,vadso,70.0744,29.7487,37.56,81,75,11.5,NO,1683578540
211,fale old settlement,-9.3852,-171.2468,84.38,75,6,13.13,TK,1683578540
212,bereznik,62.8551,42.7072,41.86,76,100,7.38,RU,1683578542
213,atasu,48.6814,71.6433,60.1,24,2,4.5,KZ,1683578542
214,ouarzazat,30.9189,-6.8934,86.29,14,20,13.8,MA,1683578542
215,aykhal,66.0,111.5,27.05,94,100,20.49,RU,1683578542
216,yeppoon,-23.1333,150.7333,55.18,46,43,9.93,AU,1683578543
217,daru,-9.0763,143.2092,79.48,89,100,16.17,PG,1683578543
218,bikenibeu village,1.3673,173.1241,84.16,84,40,8.05,KI,1683578543
219,harper,4.375,-7.7169,81.16,83,42,7.81,LR,1683578544
220,toamasina,-18.1667,49.3833,73.4,94,40,8.05,MG,1683578544
221,al jawf,29.5,38.75,70.74,34,5,9.55,SA,1683578544
222,tabuk,17.4189,121.4443,75.13,94,91,0.6,PH,1683578545
223,howard springs,-12.497,131.047,73.31,59,66,11.1,AU,1683578545
224,khandyga,62.6667,135.6,25.84,59,92,4.56,RU,1683578545
225,gisborne,-38.6533,178.0042,59.7,83,100,5.32,NZ,1683578546
226,parli vaijnath,18.85,76.5333,87.22,47,100,10.58,IN,1683578546
